;Provinsi;Kota/Kabupaten;Website;Framework;;;;;;;;;;;;;;;;;;;;;;;
28;Jawa Barat;Kabutapen Subang;http://jdih.subang.go.id/;Apache;Bootstrap;DataTables;Facebook;Font Awesome;;JQuery;Modernizr;CodeIgniter;PHP;OWL Carousel;Fancybox;OpenSSL;Chart.js;;;Highcharts;JQuery UI;Select2;Slick;UNIX;;;
29;Jawa Barat;Kabutapen Sukabumi;http://jdih.sukabumikab.go.id/;;;DataTables;Facebook;;Google Font API;JQuery;Modernizr;CodeIgniter;PHP;;;;;;;Highcharts;JQuery UI;;Slick;;Disqus;;
30;Jawa Barat;Kabutapen Sumedang;http://jdih.sumedangkab.go.id/;FlexSlider;Bootstrap;;;Font Awesome;Google Font API;JQuery;;CodeIgniter;PHP;OWL Carousel;;Nginx;;;;;JQuery UI;;;;animate.css;;
31;Jawa Barat;Kabutapen Tasikmalaya;http://jdih.tasikmalayakab.go.id/;JQuery;;PHP;Apache;;;;;;;;;;;;;;;;;;;;
32;Jawa Barat;Kabutapen Ciamis;http://jdih.ciamiskab.go.id/;JQuery;;PHP;Apache;Bootstrap;Font Awesome;;;JQuery Migrate;;Wordpress;MySQL;AddToAny;;;;;;;;;;;
33;Jawa Barat;Kota Bandung;http://jdih.bandung.go.id/;JQuery;;;Apache;Bootstrap;Font Awesome;Google Font API;;;;;;;amCharts;;;;;;;;;;
34;Jawa Barat;Kota Banjar;http://jdih.banjarkota.go.id/;JQuery;GSAP;PHP;;;Font Awesome;Google Font API;;JQuery Migrate;JQuery UI;Wordpress;MySQL;PrettyPhoto;Underscore.js;;LightBox;Revslider;Twitter Emoji;;;;;;
35;Jawa Barat;Kota Bekasi;http://jdih.bekasikota.go.id/;JQuery;;;;Bootstrap;Font Awesome;Google Font API;;JQuery Migrate;;;;;;;;;;;;;;;
36;Jawa Barat;Kota Bogor;http://jdih.kotabogor.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;DataTables;JQuery Migrate;Animate.css;Twitter;;;Fancybox;;;;;;;;OWL Carousel;;
37;Jawa Barat;Kota Cimahi;http://jdih.cimahi.go.id/;-;;;;;;;;;;;;;;;;;;;;;;;
38;Jawa Barat;Kota Cirebon;http://jdih.cirebonkota.go.id/;JQuery;;;Apache;Bootstrap;;;Bootstrap Table;;;;;;;Modernizr;Select2;Hammer.js;;;;;;;
39;Jawa Barat;Kota Depok;http://jdih.depok.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;;;;;Prefix-Free;;;;;;;;;;;;;;
40;Jawa Barat;Kota Sukabumi;http://jdih.sukabumikota.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;;;;;Prefix-Free;;;;;;;;;;;;;;
41;Jawa Barat;Kota Tasikmalaya;http://jdih.tasikmalayakota.go.id/;JQuery;;;;Bootstrap;Font Awesome;Google Font API;DataTables;;Animate.css;Tawk.to;Google Tag Manager;;;;;;;;;;;;
42;Jawa Tengah;Kabupaten Banjarnegara;https://jdih.banjarnegarakab.go.id/;JQuery;;PHP;Apache;Bootstrap;;;;JQuery Migrate;;Joomla;;;;;;;;;;;;;
43;Jawa Tengah;Kabupaten Banyumas;http://jdih.banyumaskab.go.id/;JQuery;;PHP;;Bootstrap;;;;;;;;;;;;;;Nginx;;;;;
